filename,noise_category,duration,sampling_rate
bike_0001.wav,bike,10,16000
bike_0002.wav,bike,10,16000
bike_0003.wav,bike,10,16000
bike_0004.wav,bike,10,16000
bike_0005.wav,bike,10,16000
bike_0006.wav,bike,10,16000
bike_0007.wav,bike,10,16000
bike_0008.wav,bike,10,16000
bike_0009.wav,bike,10,16000
bike_0010.wav,bike,10,16000
bike_0011.wav,bike,10,16000
bike_0012.wav,bike,10,16000
bike_0013.wav,bike,10,16000
bike_0014.wav,bike,10,16000
bike_0015.wav,bike,10,16000
bike_0016.wav,bike,10,16000
bike_0017.wav,bike,10,16000
bike_0018.wav,bike,10,16000
bike_0019.wav,bike,10,16000
bike_0020.wav,bike,10,16000
bike_0021.wav,bike,10,16000
bike_0022.wav,bike,10,16000
bike_0023.wav,bike,10,16000
bike_0024.wav,bike,10,16000
bike_0025.wav,bike,10,16000
bike_0026.wav,bike,10,16000
bike_0027.wav,bike,10,16000
bike_0028.wav,bike,10,16000
bike_0029.wav,bike,10,16000
bike_0030.wav,bike,10,16000
bike_0031.wav,bike,10,16000
bike_0032.wav,bike,10,16000
bike_0033.wav,bike,10,16000
bike_0034.wav,bike,10,16000
bike_0035.wav,bike,10,16000
bike_0036.wav,bike,10,16000
bike_0037.wav,bike,10,16000
bike_0038.wav,bike,10,16000
bike_0039.wav,bike,10,16000
bike_0040.wav,bike,10,16000
bike_0041.wav,bike,10,16000
bike_0042.wav,bike,10,16000
bike_0043.wav,bike,10,16000
bike_0044.wav,bike,10,16000
bike_0045.wav,bike,10,16000
bike_0046.wav,bike,10,16000
bike_0047.wav,bike,10,16000
bike_0048.wav,bike,10,16000
bike_0049.wav,bike,10,16000
bike_0050.wav,bike,10,16000
bike_0051.wav,bike,10,16000
bike_0052.wav,bike,10,16000
bike_0053.wav,bike,10,16000
bike_0054.wav,bike,10,16000
bike_0055.wav,bike,10,16000
bike_0056.wav,bike,10,16000
bike_0057.wav,bike,10,16000
bike_0058.wav,bike,10,16000
bike_0059.wav,bike,10,16000
bike_0060.wav,bike,10,16000
bike_0061.wav,bike,10,16000
bike_0062.wav,bike,10,16000
bike_0063.wav,bike,10,16000
bike_0064.wav,bike,10,16000
bike_0065.wav,bike,10,16000
bike_0066.wav,bike,10,16000
bike_0067.wav,bike,10,16000
bike_0068.wav,bike,10,16000
bike_0069.wav,bike,10,16000
bike_0070.wav,bike,10,16000
bike_0071.wav,bike,10,16000
bike_0072.wav,bike,10,16000
bike_0073.wav,bike,10,16000
bike_0074.wav,bike,10,16000
bike_0075.wav,bike,10,16000
bike_0076.wav,bike,10,16000
bike_0077.wav,bike,10,16000
bike_0078.wav,bike,10,16000
bike_0079.wav,bike,10,16000
bike_0080.wav,bike,10,16000
bike_0081.wav,bike,10,16000
bike_0082.wav,bike,10,16000
bike_0083.wav,bike,10,16000
bike_0084.wav,bike,10,16000
bike_0085.wav,bike,10,16000
bike_0086.wav,bike,10,16000
